eur
25-12-2019
26-12-2019
01-01-2020
10-04-2020
12-04-2020
13-04-2020
01-05-2020
25-12-2020
26-12-2020
01-01-2021
02-04-2021
04-04-2021
05-04-2021
01-05-2021
25-12-2021
26-12-2021
01-01-2022
15-04-2022
17-04-2022
18-04-2022
01-05-2022
25-12-2022
26-12-2022
01-01-2023
07-04-2023
09-04-2023
10-04-2023
01-05-2023
25-12-2023
26-12-2023
01-01-2024
29-03-2024
31-03-2024
01-04-2024
01-05-2024
25-12-2024
26-12-2024
01-01-2025
18-04-2025
20-04-2025
21-04-2025
01-05-2025
25-12-2025
26-12-2025
01-01-2026
03-04-2026
05-04-2026
06-04-2026
01-05-2026
25-12-2026
26-12-2026
01-01-2027
26-03-2027
28-03-2027
29-03-2027
01-05-2027
25-12-2027
26-12-2027
01-01-2028
14-04-2028
16-04-2028
17-04-2028
01-05-2028
25-12-2028
26-12-2028
01-01-2029
30-03-2029
01-04-2029
02-04-2029
01-05-2029
25-12-2029
26-12-2029
01-01-2030
19-04-2030
21-04-2030
22-04-2030
01-05-2030
25-12-2030
26-12-2030
01-01-2031
11-04-2031
13-04-2031
14-04-2031
01-05-2031
25-12-2031
26-12-2031
01-01-2032
26-03-2032
28-03-2032
29-03-2032
01-05-2032
25-12-2032
26-12-2032
01-01-2033
15-04-2033
17-04-2033
18-04-2033
01-05-2033
25-12-2033
26-12-2033
01-01-2034
07-04-2034
09-04-2034
10-04-2034
01-05-2034
25-12-2034
26-12-2034
01-01-2035
23-03-2035
25-03-2035
26-03-2035
01-05-2035
25-12-2035
26-12-2035
01-01-2036
11-04-2036
13-04-2036
14-04-2036
01-05-2036
25-12-2036
26-12-2036
01-01-2037
03-04-2037
05-04-2037
06-04-2037
01-05-2037
25-12-2037
26-12-2037
01-01-2038
23-04-2038
25-04-2038
26-04-2038
01-05-2038
25-12-2038
26-12-2038
01-01-2039
08-04-2039
10-04-2039
11-04-2039
01-05-2039
25-12-2039
26-12-2039
01-01-2040
30-03-2040
01-04-2040
02-04-2040
01-05-2040
25-12-2040
26-12-2040
01-01-2041
19-04-2041
21-04-2041
22-04-2041
01-05-2041
25-12-2041
26-12-2041
01-01-2042
04-04-2042
06-04-2042
07-04-2042
01-05-2042
25-12-2042
26-12-2042
01-01-2043
27-03-2043
29-03-2043
30-03-2043
01-05-2043
25-12-2043
26-12-2043
01-01-2044
15-04-2044
17-04-2044
18-04-2044
01-05-2044
25-12-2044
26-12-2044
01-01-2045
07-04-2045
09-04-2045
10-04-2045
01-05-2045
25-12-2045
26-12-2045
01-01-2046
23-03-2046
25-03-2046
26-03-2046
01-05-2046
25-12-2046
26-12-2046
01-01-2047
12-04-2047
14-04-2047
15-04-2047
01-05-2047
25-12-2047
26-12-2047
01-01-2048
03-04-2048
05-04-2048
06-04-2048
01-05-2048
25-12-2048
26-12-2048
01-01-2049
16-04-2049
18-04-2049
19-04-2049
01-05-2049
25-12-2049
26-12-2049
01-01-2050
08-04-2050
10-04-2050
11-04-2050
01-05-2050
25-12-2050
26-12-2050
01-01-2051
31-03-2051
02-04-2051
03-04-2051
01-05-2051
25-12-2051
26-12-2051
01-01-2052
19-04-2052
21-04-2052
22-04-2052
01-05-2052
25-12-2052
26-12-2052
01-01-2053
04-04-2053
06-04-2053
07-04-2053
01-05-2053
25-12-2053
26-12-2053
01-01-2054
27-03-2054
29-03-2054
30-03-2054
01-05-2054
25-12-2054
26-12-2054
01-01-2055
16-04-2055
18-04-2055
19-04-2055
01-05-2055
25-12-2055
26-12-2055
01-01-2056
31-03-2056
02-04-2056
03-04-2056
01-05-2056
25-12-2056
26-12-2056
01-01-2057
20-04-2057
22-04-2057
23-04-2057
01-05-2057
25-12-2057
26-12-2057
01-01-2058
12-04-2058
14-04-2058
15-04-2058
01-05-2058
25-12-2058
26-12-2058
01-01-2059
28-03-2059
30-03-2059
31-03-2059
01-05-2059
25-12-2059
26-12-2059
01-01-2060
16-04-2060
18-04-2060
19-04-2060
01-05-2060
25-12-2060
26-12-2060
01-01-2061
08-04-2061
10-04-2061
11-04-2061
01-05-2061
25-12-2061
26-12-2061
01-01-2062
24-03-2062
26-03-2062
27-03-2062
01-05-2062
25-12-2062
26-12-2062
01-01-2063
13-04-2063
15-04-2063
16-04-2063
01-05-2063
25-12-2063
26-12-2063
01-01-2064
04-04-2064
06-04-2064
07-04-2064
01-05-2064
25-12-2064
26-12-2064
01-01-2065
27-03-2065
29-03-2065
30-03-2065
01-05-2065
25-12-2065
26-12-2065
01-01-2066
09-04-2066
11-04-2066
12-04-2066
01-05-2066
25-12-2066
26-12-2066
01-01-2067
01-04-2067
03-04-2067
04-04-2067
01-05-2067
25-12-2067
26-12-2067
01-01-2068
20-04-2068
22-04-2068
23-04-2068
01-05-2068
25-12-2068
26-12-2068
01-01-2069
12-04-2069
14-04-2069
15-04-2069
01-05-2069
